FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION_CONDUCTA,ZONA,CANTIDAD
17/09/2005,25,CUNDINAMARCA,25307,GIRARDOT,"ARTICULO 334. EXPERIMENTACION ILEGAL CON ESPECIES, AGENTES BIOLOGICOS O BIOQUIMICOS",URBANA,1
21/09/2005,25,CUNDINAMARCA,25815,TOCAIMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
22/09/2005,25,CUNDINAMARCA,25368,JERUSALEN,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
27/09/2005,25,CUNDINAMARCA,25394,LA PALMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
06/10/2005,25,CUNDINAMARCA,25745,SIMIJACA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
27/10/2005,25,CUNDINAMARCA,25513,PACHO,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
01/11/2005,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
03/11/2005,25,CUNDINAMARCA,25368,JERUSALEN,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
09/11/2005,25,CUNDINAMARCA,25326,GUATAVITA,ARTICULO 335. ILICITA ACTIVIDAD DE PESCA,URBANA,1
02/12/2005,25,CUNDINAMARCA,25320,GUADUAS,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,URBANA,1
17/12/2005,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
10/01/2006,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
13/01/2006,25,CUNDINAMARCA,25181,CHOACHI,ARTICULO 339. DAÑOS EN LOS RECURSOS NATURALES (MODALIDAD CULPOSA),RURAL,1
18/01/2006,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
20/01/2006,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
28/01/2006,25,CUNDINAMARCA,25151,CAQUEZA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
14/02/2006,25,CUNDINAMARCA,25862,VERGARA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
16/02/2006,25,CUNDINAMARCA,25878,VIOTA,"ARTICULO 334. EXPERIMENTACION ILEGAL CON ESPECIES, AGENTES BIOLOGICOS O BIOQUIMICOS",URBANA,1
18/02/2006,25,CUNDINAMARCA,25123,CACHIPAY,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
18/02/2006,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
